iter	Passed	Remaining
0	197	393881
1	223	223761
2	252	167954
3	277	138675
4	303	121085
5	330	109827
6	356	101550
7	385	95865
8	411	91140
9	435	86727
10	460	83273
11	486	80612
12	512	78277
13	538	76424
14	564	74694
15	589	73107
16	615	71773
17	640	70530
18	666	69467
19	691	68442
20	715	67466
21	738	66435
22	762	65531
23	788	64880
24	811	64146
25	833	63301
26	857	62662
27	880	62026
28	904	61508
29	927	60908
30	951	60450
31	974	59914
32	998	59492
33	1022	59105
34	1045	58689
35	1070	58413
36	1094	58078
37	1121	57915
38	1147	57679
39	1171	57427
40	1197	57229
41	1223	57057
42	1247	56787
43	1271	56531
44	1296	56320
45	1322	56179
46	1348	56025
47	1371	55759
48	1395	55566
49	1416	55261
50	1440	55039
51	1464	54845
52	1487	54647
53	1511	54479
54	1535	54303
55	1559	54142
56	1587	54122
57	1613	54035
58	1643	54068
59	1673	54124
60	1702	54111
61	1728	54031
62	1753	53912
63	1777	53775
64	1801	53624
65	1823	53448
66	1848	53322
67	1871	53174
68	1894	53018
69	1915	52826
70	1937	52650
71	1960	52508
72	1983	52349
73	2006	52216
74	2029	52079
75	2052	51963
76	2076	51849
77	2098	51721
78	2124	51661
79	2148	51566
80	2172	51459
81	2196	51382
82	2221	51308
83	2245	51207
84	2268	51097
85	2292	51011
86	2316	50936
87	2341	50874
88	2365	50798
89	2390	50737
90	2415	50678
91	2439	50598
92	2463	50525
93	2488	50451
94	2511	50369
95	2536	50304
96	2560	50241
97	2584	50162
98	2610	50131
99	2636	50086
100	2662	50052
101	2686	49983
102	2710	49918
103	2734	49859
104	2758	49791
105	2783	49738
106	2809	49700
107	2833	49636
108	2857	49576
109	2883	49538
110	2907	49472
111	2932	49441
112	2959	49414
113	2983	49360
114	3008	49313
115	3032	49256
116	3058	49219
117	3082	49165
118	3106	49110
119	3132	49072
120	3156	49015
121	3181	48973
122	3208	48955
123	3231	48896
124	3256	48840
125	3283	48831
126	3307	48776
127	3330	48710
128	3354	48649
129	3378	48595
130	3403	48554
131	3426	48491
132	3450	48431
133	3473	48364
134	3497	48317
135	3521	48263
136	3545	48206
137	3568	48152
138	3592	48104
139	3618	48071
140	3642	48025
141	3666	47969
142	3690	47927
143	3715	47886
144	3739	47838
145	3763	47795
146	3789	47771
147	3816	47759
148	3844	47753
149	3870	47735
150	3896	47716
151	3925	47722
152	3951	47696
153	3977	47674
154	4007	47701
155	4033	47680
156	4058	47641
157	4082	47599
158	4108	47572
159	4132	47523
160	4156	47474
161	4179	47424
162	4204	47383
163	4228	47334
164	4253	47299
165	4278	47271
166	4303	47237
167	4328	47204
168	4353	47164
169	4377	47125
170	4401	47080
171	4428	47062
172	4450	47004
173	4474	46951
174	4498	46908
175	4521	46862
176	4547	46838
177	4571	46796
178	4596	46764
179	4622	46742
180	4646	46700
181	4671	46665
182	4695	46623
183	4720	46592
184	4747	46579
185	4775	46570
186	4804	46577
187	4830	46558
188	4854	46516
189	4877	46466
190	4902	46431
191	4926	46387
192	4950	46352
193	4974	46313
194	4999	46273
195	5024	46242
196	5049	46211
197	5074	46187
198	5100	46159
199	5124	46120
200	5148	46076
201	5171	46028
202	5195	45994
203	5219	45951
204	5243	45915
205	5267	45876
206	5291	45831
207	5314	45785
208	5337	45736
209	5360	45690
210	5383	45644
211	5407	45606
212	5430	45563
213	5455	45527
214	5478	45488
215	5502	45444
216	5525	45400
217	5549	45361
218	5571	45312
219	5596	45280
220	5620	45242
221	5644	45206
222	5671	45195
223	5696	45162
224	5720	45124
225	5743	45084
226	5768	45052
227	5792	45015
228	5816	44982
229	5840	44944
230	5863	44899
231	5885	44854
232	5909	44819
233	5933	44777
234	5957	44744
235	5981	44708
236	6008	44694
237	6033	44670
238	6059	44650
239	6085	44625
240	6110	44599
241	6136	44576
242	6160	44543
243	6185	44517
244	6210	44486
245	6234	44451
246	6257	44413
247	6282	44380
248	6305	44342
249	6330	44314
250	6353	44274
251	6377	44240
252	6400	44197
253	6424	44163
254	6447	44123
255	6470	44082
256	6495	44050
257	6519	44018
258	6543	43986
259	6571	43976
260	6595	43944
261	6618	43901
262	6641	43864
263	6666	43835
264	6689	43800
265	6714	43767
266	6738	43735
267	6761	43700
268	6785	43664
269	6808	43625
270	6834	43601
271	6856	43561
272	6881	43532
273	6905	43500
274	6929	43466
275	6953	43434
276	6976	43392
277	7000	43362
278	7023	43325
279	7046	43286
280	7070	43254
281	7093	43215
282	7117	43180
283	7140	43143
284	7164	43112
285	7188	43078
286	7211	43041
287	7234	43006
288	7257	42970
289	7281	42933
290	7305	42902
291	7329	42870
292	7352	42836
293	7377	42809
294	7402	42781
295	7427	42757
296	7454	42742
297	7480	42725
298	7506	42701
299	7533	42690
300	7575	42760
301	7600	42735
302	7624	42702
303	7647	42666
304	7670	42629
305	7694	42598
306	7718	42562
307	7741	42529
308	7765	42497
309	7791	42476
310	7815	42447
311	7843	42435
312	7870	42420
313	7898	42410
314	7924	42391
315	7947	42354
316	7969	42313
317	7992	42277
318	8016	42244
319	8040	42211
320	8064	42180
321	8089	42156
322	8112	42119
323	8136	42091
324	8160	42057
325	8185	42031
326	8211	42010
327	8238	41995
328	8263	41972
329	8289	41949
330	8315	41926
331	8342	41911
332	8367	41889
333	8393	41867
334	8418	41841
335	8442	41812
336	8467	41782
337	8490	41751
338	8516	41726
339	8541	41700
340	8567	41683
341	8594	41665
342	8619	41638
343	8643	41608
344	8667	41580
345	8691	41550
346	8716	41521
347	8743	41508
348	8769	41484
349	8792	41451
350	8817	41422
351	8841	41394
352	8865	41365
353	8889	41333
354	8914	41308
355	8939	41281
356	8963	41254
357	8987	41223
358	9011	41193
359	9036	41166
360	9061	41141
361	9085	41111
362	9113	41097
363	9137	41066
364	9161	41038
365	9187	41015
366	9213	40994
367	9237	40965
368	9262	40942
369	9286	40912
370	9311	40883
371	9336	40858
372	9363	40840
373	9388	40819
374	9415	40800
375	9440	40775
376	9470	40768
377	9493	40736
378	9521	40722
379	9548	40707
380	9577	40698
381	9603	40675
382	9629	40656
383	9655	40634
384	9682	40617
385	9709	40597
386	9736	40579
387	9761	40554
388	9787	40535
389	9813	40511
390	9838	40485
391	9863	40459
392	9889	40438
393	9913	40407
394	9940	40391
395	9968	40378
396	9995	40358
397	10018	40326
398	10044	40303
399	10072	40288
400	10101	40279
401	10127	40256
402	10154	40241
403	10180	40216
404	10204	40188
405	10228	40159
406	10253	40133
407	10280	40112
408	10307	40094
409	10332	40068
410	10359	40049
411	10387	40037
412	10414	40019
413	10439	39992
414	10466	39975
415	10492	39951
416	10521	39939
417	10549	39926
418	10574	39902
419	10597	39868
420	10621	39837
421	10645	39806
422	10668	39772
423	10693	39747
424	10719	39726
425	10744	39697
426	10767	39666
427	10791	39635
428	10814	39601
429	10837	39569
430	10861	39541
431	10885	39509
432	10908	39475
433	10932	39446
434	10956	39417
435	10979	39386
436	11003	39356
437	11029	39333
438	11053	39303
439	11079	39280
440	11104	39256
441	11130	39232
442	11155	39208
443	11182	39187
444	11206	39158
445	11231	39133
446	11252	39094
447	11278	39070
448	11301	39038
449	11326	39013
450	11351	38988
451	11375	38957
452	11398	38926
453	11422	38897
454	11445	38865
455	11469	38835
456	11489	38791
457	11514	38766
458	11540	38745
459	11567	38726
460	11590	38694
461	11614	38663
462	11637	38633
463	11663	38609
464	11687	38580
465	11711	38553
466	11735	38524
467	11761	38500
468	11784	38469
469	11808	38440
470	11830	38404
471	11854	38376
472	11878	38348
473	11901	38316
474	11927	38292
475	11952	38267
476	11977	38243
477	12002	38217
478	12027	38191
479	12051	38162
480	12075	38134
481	12099	38107
482	12124	38079
483	12147	38049
484	12172	38022
485	12197	37997
486	12220	37967
487	12244	37936
488	12266	37903
489	12291	37879
490	12316	37851
491	12339	37822
492	12363	37792
493	12387	37763
494	12410	37733
495	12434	37704
496	12457	37674
497	12480	37642
498	12505	37616
499	12528	37586
500	12554	37562
501	12579	37537
502	12604	37513
503	12629	37488
504	12654	37462
505	12681	37442
506	12705	37414
507	12732	37396
508	12758	37372
509	12781	37342
510	12805	37313
511	12827	37279
512	12846	37236
513	12869	37206
514	12893	37178
515	12917	37150
516	12940	37118
517	12962	37086
518	12986	37057
519	13009	37028
520	13035	37003
521	13057	36971
522	13080	36941
523	13104	36911
524	13127	36882
525	13151	36853
526	13176	36827
527	13198	36797
528	13221	36763
529	13243	36732
530	13266	36701
531	13289	36671
532	13312	36640
533	13336	36612
534	13355	36572
535	13379	36543
536	13402	36512
537	13422	36475
538	13446	36447
539	13469	36416
540	13494	36391
541	13517	36363
542	13541	36333
543	13564	36305
544	13592	36287
545	13613	36253
546	13637	36224
547	13660	36194
548	13683	36165
549	13706	36135
550	13725	36095
551	13749	36066
552	13771	36034
553	13791	35997
554	13810	35956
555	13832	35925
556	13852	35888
557	13875	35856
558	13894	35818
559	13916	35784
560	13938	35754
561	13962	35725
562	13982	35689
563	14010	35673
564	14029	35632
565	14049	35594
566	14068	35555
567	14091	35525
568	14114	35496
569	14138	35471
570	14160	35437
571	14185	35414
572	14205	35377
573	14227	35345
574	14249	35314
575	14272	35283
576	14292	35247
577	14314	35216
578	14334	35179
579	14357	35150
580	14375	35111
581	14394	35070
582	14413	35032
583	14432	34994
584	14455	34964
585	14479	34938
586	14502	34908
587	14524	34878
588	14547	34850
589	14568	34815
590	14592	34790
591	14612	34754
592	14632	34718
593	14653	34683
594	14673	34649
595	14692	34611
596	14717	34587
597	14739	34556
598	14763	34529
599	14787	34503
600	14810	34476
601	14834	34450
602	14856	34418
603	14878	34387
604	14903	34364
605	14926	34335
606	14947	34302
607	14973	34281
608	14994	34247
609	15014	34214
610	15038	34187
611	15061	34159
612	15081	34124
613	15105	34097
614	15129	34072
615	15152	34044
616	15173	34010
617	15196	33984
618	15217	33950
619	15237	33916
620	15260	33887
621	15283	33858
622	15306	33832
623	15326	33797
624	15350	33771
625	15374	33745
626	15397	33716
627	15417	33682
628	15440	33654
629	15464	33630
630	15484	33595
631	15509	33571
632	15534	33547
633	15554	33512
634	15577	33486
635	15597	33450
636	15620	33423
637	15645	33400
638	15666	33368
639	15688	33339
640	15713	33313
641	15737	33288
642	15761	33263
643	15783	33233
644	15807	33208
645	15831	33181
646	15855	33157
647	15880	33132
648	15904	33107
649	15927	33080
650	15948	33047
651	15973	33024
652	15997	33000
653	16021	32974
654	16045	32947
655	16069	32922
656	16096	32903
657	16118	32874
658	16141	32847
659	16167	32825
660	16189	32795
661	16215	32773
662	16237	32744
663	16264	32724
664	16286	32696
665	16313	32675
666	16339	32654
667	16364	32630
668	16387	32603
669	16414	32583
670	16439	32560
671	16464	32536
672	16486	32508
673	16511	32483
674	16535	32458
675	16561	32436
676	16587	32415
677	16613	32393
678	16638	32371
679	16659	32338
680	16680	32307
681	16707	32288
682	16733	32266
683	16755	32237
684	16780	32212
685	16805	32190
686	16828	32163
687	16856	32145
688	16878	32116
689	16909	32104
690	16939	32089
691	16964	32066
692	16988	32040
693	17014	32017
694	17039	31995
695	17067	31976
696	17093	31956
697	17117	31929
698	17166	31951
699	17196	31935
700	17223	31916
701	17251	31898
702	17280	31881
703	17310	31866
704	17342	31855
705	17371	31839
706	17410	31840
707	17439	31824
708	17463	31799
709	17485	31768
710	17507	31740
711	17531	31714
712	17555	31689
713	17579	31663
714	17603	31636
715	17626	31610
716	17652	31587
717	17678	31564
718	17703	31541
719	17733	31526
720	17759	31504
721	17791	31492
722	17818	31471
723	17845	31450
724	17874	31434
725	17903	31417
726	17933	31401
727	17963	31387
728	17992	31368
729	18020	31350
730	18048	31332
731	18076	31312
732	18101	31288
733	18128	31267
734	18151	31240
735	18179	31221
736	18201	31192
737	18225	31166
738	18248	31138
739	18276	31119
740	18300	31092
741	18324	31067
742	18348	31042
743	18373	31017
744	18398	30993
745	18430	30980
746	18456	30957
747	18486	30942
748	18509	30915
749	18534	30891
750	18563	30874
751	18588	30849
752	18614	30826
753	18638	30801
754	18661	30772
755	18683	30744
756	18708	30719
757	18735	30697
758	18759	30673
759	18790	30657
760	18814	30632
761	18840	30609
762	18865	30585
763	18895	30568
764	18919	30542
765	18947	30523
766	18976	30505
767	19003	30484
768	19026	30456
769	19056	30441
770	19082	30418
771	19113	30403
772	19142	30386
773	19170	30364
774	19195	30340
775	19226	30325
776	19257	30310
777	19282	30286
778	19306	30261
779	19332	30237
780	19362	30221
781	19388	30199
782	19415	30177
783	19442	30155
784	19464	30126
785	19488	30100
786	19512	30075
787	19536	30049
788	19564	30027
789	19589	30004
790	19615	29981
791	19639	29955
792	19662	29927
793	19688	29904
794	19710	29876
795	19734	29850
796	19758	29823
797	19785	29802
798	19811	29779
799	19840	29761
800	19867	29739
801	19895	29719
802	19919	29693
803	19945	29669
804	19972	29649
805	19997	29624
806	20025	29604
807	20055	29586
808	20081	29563
809	20105	29537
810	20132	29516
811	20164	29502
812	20192	29480
813	20215	29454
814	20243	29433
815	20268	29408
816	20296	29388
817	20324	29368
818	20351	29346
819	20381	29329
820	20405	29303
821	20431	29280
822	20460	29260
823	20488	29240
824	20511	29212
825	20539	29193
826	20562	29165
827	20587	29141
828	20614	29118
829	20638	29092
830	20664	29069
831	20686	29040
832	20709	29012
833	20733	28987
834	20756	28960
835	20780	28933
836	20805	28909
837	20831	28885
838	20855	28859
839	20883	28838
840	20910	28816
841	20935	28792
842	20962	28770
843	20985	28743
844	21009	28717
845	21035	28694
846	21059	28667
847	21088	28648
848	21117	28629
849	21145	28607
850	21172	28586
851	21202	28568
852	21230	28547
853	21257	28526
854	21286	28506
855	21311	28482
856	21335	28455
857	21360	28430
858	21384	28405
859	21412	28384
860	21436	28358
861	21462	28334
862	21487	28309
863	21510	28282
864	21533	28255
865	21559	28231
866	21585	28207
867	21610	28182
868	21633	28156
869	21659	28132
870	21680	28102
871	21702	28073
872	21724	28045
873	21747	28017
874	21770	27990
875	21795	27966
876	21822	27943
877	21845	27916
878	21869	27889
879	21892	27863
880	21918	27839
881	21942	27813
882	21966	27787
883	21993	27765
884	22019	27742
885	22040	27712
886	22065	27687
887	22090	27663
888	22111	27632
889	22135	27607
890	22158	27579
891	22180	27551
892	22204	27525
893	22227	27497
894	22248	27469
895	22269	27439
896	22290	27409
897	22318	27389
898	22343	27364
899	22372	27343
900	22399	27321
901	22424	27296
902	22468	27295
903	22492	27269
904	22516	27244
905	22542	27220
906	22567	27195
907	22589	27166
908	22613	27141
909	22639	27117
910	22660	27087
911	22685	27062
912	22705	27032
913	22727	27004
914	22750	26977
915	22774	26951
916	22801	26928
917	22826	26904
918	22850	26878
919	22878	26857
920	22900	26828
921	22922	26801
922	22949	26778
923	22973	26752
924	22994	26723
925	23018	26697
926	23040	26669
927	23067	26647
928	23090	26620
929	23114	26594
930	23137	26566
931	23165	26545
932	23185	26515
933	23206	26486
934	23227	26457
935	23250	26429
936	23271	26400
937	23294	26373
938	23315	26344
939	23340	26319
940	23364	26294
941	23385	26265
942	23406	26236
943	23430	26209
944	23451	26181
945	23474	26154
946	23496	26126
947	23523	26103
948	23551	26083
949	23575	26057
950	23603	26035
951	23625	26008
952	23651	25984
953	23670	25953
954	23696	25930
955	23716	25899
956	23737	25870
957	23757	25840
958	23781	25815
959	23801	25785
960	23821	25754
961	23847	25731
962	23866	25700
963	23887	25671
964	23909	25643
965	23928	25613
966	23948	25582
967	23969	25553
968	23989	25524
969	24010	25495
970	24033	25468
971	24054	25439
972	24074	25410
973	24098	25385
974	24123	25360
975	24148	25336
976	24169	25307
977	24192	25281
978	24213	25252
979	24234	25223
980	24254	25193
981	24272	25162
982	24297	25137
983	24317	25108
984	24337	25078
985	24362	25054
986	24383	25026
987	24409	25002
988	24431	24974
989	24454	24948
990	24477	24922
991	24498	24893
992	24518	24863
993	24546	24842
994	24572	24819
995	24597	24795
996	24623	24771
997	24644	24743
998	24664	24713
999	24686	24686
1000	24710	24660
1001	24735	24636
1002	24757	24608
1003	24777	24579
1004	24797	24550
1005	24816	24520
1006	24838	24493
1007	24860	24465
1008	24880	24436
1009	24900	24407
1010	24920	24378
1011	24940	24348
1012	24959	24319
1013	24979	24289
1014	24999	24260
1015	25021	24233
1016	25041	24204
1017	25061	24175
1018	25080	24144
1019	25099	24115
1020	25120	24086
1021	25140	24057
1022	25160	24029
1023	25181	24001
1024	25202	23972
1025	25220	23942
1026	25240	23913
1027	25262	23886
1028	25282	23857
1029	25302	23828
1030	25320	23798
1031	25344	23772
1032	25363	23743
1033	25382	23713
1034	25402	23684
1035	25421	23654
1036	25440	23624
1037	25463	23599
1038	25485	23572
1039	25510	23548
1040	25531	23520
1041	25557	23496
1042	25578	23469
1043	25597	23439
1044	25617	23410
1045	25636	23381
1046	25657	23353
1047	25681	23328
1048	25704	23302
1049	25725	23275
1050	25746	23247
1051	25770	23222
1052	25793	23197
1053	25818	23172
1054	25843	23148
1055	25863	23119
1056	25883	23091
1057	25906	23065
1058	25926	23037
1059	25947	23009
1060	25968	22982
1061	25987	22953
1062	26015	22932
1063	26040	22907
1064	26069	22887
1065	26095	22863
1066	26118	22838
1067	26143	22814
1068	26183	22803
1069	26210	22781
1070	26233	22755
1071	26255	22728
1072	26277	22702
1073	26299	22675
1074	26321	22648
1075	26345	22623
1076	26364	22594
1077	26383	22565
1078	26402	22536
1079	26421	22507
1080	26439	22477
1081	26457	22447
1082	26475	22417
1083	26493	22387
1084	26511	22358
1085	26530	22328
1086	26548	22299
1087	26566	22269
1088	26584	22239
1089	26603	22209
1090	26621	22180
1091	26638	22150
1092	26656	22120
1093	26675	22091
1094	26694	22062
1095	26712	22032
1096	26730	22003
1097	26748	21973
1098	26770	21947
1099	26792	21921
1100	26812	21893
1101	26831	21864
1102	26854	21839
1103	26876	21813
1104	26894	21783
1105	26913	21754
1106	26932	21725
1107	26950	21696
1108	26967	21666
1109	26986	21637
1110	27008	21611
1111	27026	21582
1112	27048	21556
1113	27065	21526
1114	27083	21496
1115	27101	21467
1116	27119	21438
1117	27137	21408
1118	27154	21379
1119	27172	21350
1120	27191	21321
1121	27210	21292
1122	27230	21265
1123	27250	21237
1124	27270	21210
1125	27290	21183
1126	27313	21157
1127	27338	21133
1128	27359	21106
1129	27376	21077
1130	27394	21048
1131	27412	21019
1132	27430	20990
1133	27448	20961
1134	27466	20932
1135	27485	20904
1136	27507	20878
1137	27525	20849
1138	27547	20823
1139	27566	20795
1140	27586	20768
1141	27605	20740
1142	27628	20715
1143	27650	20689
1144	27672	20663
1145	27691	20635
1146	27709	20606
1147	27726	20577
1148	27745	20549
1149	27765	20522
1150	27787	20496
1151	27808	20469
1152	27830	20444
1153	27849	20416
1154	27868	20388
1155	27890	20362
1156	27910	20335
1157	27929	20307
1158	27948	20280
1159	27972	20255
1160	27991	20228
1161	28010	20200
1162	28028	20172
1163	28046	20143
1164	28064	20114
1165	28081	20086
1166	28102	20059
1167	28120	20031
1168	28139	20003
1169	28156	19974
1170	28174	19945
1171	28192	19917
1172	28210	19889
1173	28231	19862
1174	28248	19834
1175	28268	19807
1176	28286	19778
1177	28305	19751
1178	28323	19723
1179	28346	19698
1180	28367	19672
1181	28388	19646
1182	28421	19628
1183	28443	19602
1184	28463	19576
1185	28484	19550
1186	28509	19526
1187	28533	19502
1188	28554	19476
1189	28574	19449
1190	28594	19423
1191	28614	19396
1192	28634	19369
1193	28654	19342
1194	28674	19316
1195	28695	19290
1196	28716	19264
1197	28736	19237
1198	28759	19212
1199	28781	19187
1200	28802	19161
1201	28823	19135
1202	28843	19109
1203	28865	19084
1204	28889	19059
1205	28910	19034
1206	28933	19009
1207	28954	18983
1208	28976	18957
1209	28997	18932
1210	29023	18909
1211	29043	18882
1212	29062	18855
1213	29082	18829
1214	29105	18804
1215	29130	18781
1216	29150	18755
1217	29171	18728
1218	29192	18703
1219	29212	18676
1220	29236	18652
1221	29259	18628
1222	29283	18604
1223	29306	18579
1224	29327	18553
1225	29349	18529
1226	29380	18509
1227	29403	18484
1228	29423	18458
1229	29443	18432
1230	29464	18406
1231	29486	18380
1232	29505	18354
1233	29525	18328
1234	29547	18302
1235	29567	18276
1236	29588	18250
1237	29609	18224
1238	29629	18198
1239	29650	18172
1240	29672	18147
1241	29692	18121
